index,Code service CH,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain,lon,lat,code_IRIS,code_district_admin,code_district_custom,Valeur fonciere
249482,,,,,,,,1,1258,Vente,2.0,,RUE,6297,DE MESSINE,75008,PARIS 08,75,108,,CL,48,,52.0,,53.0,,56.0,,67.0,,8.0,"210,82",5,2.0,Appartement,,217.0,7.0,,,,2.310882,48.876588,751083210.0,32.0,Parc Monceau,"2350000,00"
249484,,,,,,,,1,1260,Vente,86.0,,RUE,6387,DE MIROMESNIL,75008,PARIS 08,75,108,,CH,47,,70.0,"84,48",77.0,,,,,,,,2,2.0,Appartement,,90.0,3.0,,,,2.315624,48.878709,751083204.0,32.0,Mairie,"1028700,00"
249490,,,,,,,,1,1477,Vente,48.0,,RUE,0703,DE BASSANO,75008,PARIS 08,75,108,,AS,45,,13.0,"77,20",,,,,,,,,1,2.0,Appartement,,78.0,3.0,,,,2.299425,48.870725,751082905.0,29.0,Triangle d'Or,"820000,00"
249530,,,,,,,,1,1260,Vente,10.0,,RUE,5708,DE LISBONNE,75008,PARIS 08,75,108,,CH,61,,40.0,"30,05",,,,,,,,,1,2.0,Appartement,,31.0,2.0,,,,2.316966,48.877885,751083204.0,32.0,Mairie,"312200,00"
249533,,,,,,,,1,1254,Vente,5.0,,RUE,4901,JEAN JACQUES ROUSSEAU,75001,PARIS 01,75,101,,AS,17,,88.0,,89.0,,90.0,"40,02",,,,,3,2.0,Appartement,,40.0,2.0,,,,2.339991,48.862289000000004,751010203.0,2.0,Les Halles,"400000,00"
249534,,,,,,,,1,1295,Vente,29.0,,RUE,8740,SAINT ROCH,75001,PARIS 01,75,101,,AZ,64,,3.0,"23,08",,,,,,,,,1,2.0,Appartement,,24.0,1.0,,,,2.3324740000000004,48.865832,751010402.0,4.0,Vendôme,"270750,00"
249535,,,,,,,,1,1477,Vente,9.0,,RUE,2249,COMMINES,75003,PARIS 03,75,103,,AK,13,,13.0,"54,44",32.0,,,,,,,,2,2.0,Appartement,,53.0,2.0,,,,2.365636,48.861977,751031002.0,10.0,Enfants Rouges,"595000,00"
249536,,,,,,,,1,1263,Vente,30.0,,RUE,9711,DU VERTBOIS,75003,PARIS 03,75,103,,AF,73,,28.0,,7.0,"33,23",,,,,,,2,2.0,Appartement,,37.0,2.0,,,,2.358434,48.866979,751030903.0,9.0,Arts et Métiers,"342000,00"
249548,,,,,,,,1,1295,Vente,155.0,,RUE,3518,DU FAUBOURG SAINT HONORE,75008,PARIS 08,75,108,,BD,12,,124.0,"30,60",,,,,,,,,1,2.0,Appartement,,33.0,1.0,,,,2.3068299999999997,48.874294,751083005.0,30.0,Hoche-Friedland,"353000,00"
249553,,,,,,,,1,1262,Vente,22.0,,RUE,2185,DU COLISEE,75008,PARIS 08,75,108,,BI,28,,20.0,,34.0,,,,,,,,2,2.0,Appartement,,23.0,1.0,,,,2.309396,48.871076,751083004.0,30.0,Saint Philippe du Roule,"205000,00"
